Pavarde                   Vardas         ND1         ND2         ND3         ND4         ND5         ND6         ND7         ND8         ND9        ND10        ND11        ND12        ND13        ND14        ND15        Egz.
Pavarde101             Vardas101           9           7           3           6           1           3           8           7           8           3           3           6           9           1           1           2
Pavarde102             Vardas102           3           2           7           7           8          10           9           4           5           2           4           9           1           7           4           3
Pavarde103             Vardas103           8           8           1           4           4           1           9           8           7           6           9           3           7          10           8           7
Pavarde104             Vardas104           1           5           7           7           4          10           8           5          10           3           2           8           7           6           7           5
Pavarde105             Vardas105           3           3           8          10           3           4           6           1           9           7           2           9           1           9           7           3
Pavarde106             Vardas106           3           6           2           5           5           5           7           5           5           4           3          10           7           6           8          10
Pavarde107             Vardas107          10           1           9           6           1          10           9          10           9           1           6           3           6           5           1           5
Pavarde108             Vardas108           1           9           7           4           6           3           2           2          10           5           4           7           4           7           6           9
Pavarde109             Vardas109           4           1           9           1           2           9           9          10           7           1           5           6           4           5           4          10
Pavarde110             Vardas110           3           2           4           6           9           8           9           3           6           5           9           2           3           7           7           8
Pavarde111             Vardas111           7           7           6           8           4           3           8           6           2           7           4           7           4           6           2           4
Pavarde112             Vardas112          10           7           1          10          10          10           7           3           4           8           9           2           9           9          10          10
Pavarde113             Vardas113           2          10          10           9           7           2           2           8           9           1           9           5          10           8           8           2
Pavarde114             Vardas114          10           5           7           9          10           1           5           3           3           4           8           8           3           6           7           8
Pavarde115             Vardas115          10           7           6           2           5           1           1           3           8           6           9           2           3           2           8           8
Pavarde116             Vardas116           9           8           7           4           5           1           9           2           1           6           1           7           8          10           1           4
Pavarde117             Vardas117           9          10           5           2           7           7           7           1           1           9           3           6          10           2           4           9
Pavarde118             Vardas118           8          10           9           5           2           8           3          10           9           8           6           4           3          10           9          10
Pavarde119             Vardas119           8           8           1           7           2           8           4           1           4           5          10           8           9           8           1           9
Pavarde120             Vardas120           4           2           5           1           1          10           6           8           8          10           3           8           2           1           9           2
Pavarde121             Vardas121           3           9           7           2           4           9           2           3           4          10           6           1           5           6           2          10
Pavarde122             Vardas122           2           1           4           1           1           9           4           3           8           5           3           8           8           6           4           4
Pavarde123             Vardas123           1           4           7           1           2           5           1           2           1           8           5           1           1           4          10           5
Pavarde124             Vardas124           7           8           4           4          10           9           8           2           8           4           8           9           8           5           6           3
Pavarde125             Vardas125           1          10           9           1          10           2           7           6           3           9           9           9           8           9           2           1
Pavarde126             Vardas126           9           3          10           8           6           8           9           7           5           9           1           1           4           1          10          10
Pavarde127             Vardas127          10           5           5           6           5          10           3           9           9           4           5           3           3          10          10           1
Pavarde128             Vardas128           2           6           6           6           6           5           9           4           7           9           8           7           7           9           5           8
Pavarde129             Vardas129           9           6           3           5           5           4           8           5           4           9           3          10          10          10           9           6
Pavarde130             Vardas130           8           7           1           1           1           3           3           9           6           6           2           4           2           8           3           8
Pavarde131             Vardas131          10           4           3           6           4           9           9           9           1           6           9           7           7           6           3           5
Pavarde132             Vardas132           1           9           5           7          10          10           9           8           8           5          10           7           2          10           4           4
Pavarde133             Vardas133           1           8           1           2           6           8           3           5           3           3           8           8           5           3           6           9
Pavarde134             Vardas134           7           4           9          10           3           4          10           3           2           4           5           6           6           5           4           4
Pavarde135             Vardas135           3           7          10           7           4           8          10           9           2           3           8           7           9           8           1           5
Pavarde136             Vardas136          10           3           3           9           5           3           2           6           8           3           3           7           9           6           3           4
Pavarde137             Vardas137           6           6          10          10           4           4           2           4          10           3           5           9           4           7           2           7
Pavarde138             Vardas138           9           8           2           6           9           1           8           8           6           4           5           3           3          10           3           1
Pavarde139             Vardas139           3           7          10           3           5           2           9           9           2           2           3           8           5           1           1           2
Pavarde140             Vardas140           3           5           9           6          10           8           9           5           7           5           2           9           8           4           3           9
Pavarde141             Vardas141           8           7           8           5           5           4           2           7           4           9           8           1           1           2           9           5
Pavarde142             Vardas142           4           5           4           5           4           3           7          10           4           5           6           4           1           4           8           5
Pavarde143             Vardas143           8           7           2           9           2           5           8           4          10           2           1           2           5           9           7           8
Pavarde144             Vardas144           3           9           1           4           4          10           8           8           6           6          10           6           5           5           9           9
Pavarde145             Vardas145           2           2           8           3           6          10          10           6           7           2           7           4           1           4           9           1
Pavarde146             Vardas146           3           4           2          10           7           1           4           9           5           1           4           3           9          10           4           7
Pavarde147             Vardas147           2           6           4           6           5           6           4           3          10           5           2           2           7           7          10           4
Pavarde148             Vardas148           5           5           7           5           9           4          10           1           4           9           1           7           2           9          10          10
Pavarde149             Vardas149          10           1           5           8           2           6          10           6           9           9           9           8           9           8           3           8
Pavarde150             Vardas150           4           8           9           7           5           6          10           6           6           5           3           5           4           2           2           6
Pavarde151             Vardas151           4           2           2           3           8           4          10           5           6           8           8           6           4           5           1          10
Pavarde152             Vardas152           6           2           6           9           6           6           2           8           5           3          10           6           9           4           4           4
Pavarde153             Vardas153           2           3           4           8          10           6           7           7           8           3           9           4           3           2           9           2
Pavarde154             Vardas154           3          10           7           8           3          10           4           1           2           8           3           7          10           7           9           6
Pavarde155             Vardas155           8           4           6           8           8           1           4           1           8           9           1           7           7           9           2           5
Pavarde156             Vardas156           1           5           2           4           4           6           1           9           1           1           1           1           7          10           1           4
Pavarde157             Vardas157           5           4           7           6           5           1           8           3           6           6           8          10           6           4           7           2
Pavarde158             Vardas158           2           8           7           2           3           9          10           3           2           6           4           9           2           9           3           3
Pavarde159             Vardas159           4           7           9           9           1           7           3          10           9          10           3           5           7           9           2           1
Pavarde160             Vardas160          10           9           7           8           2           5          10           9          10           1           8           4           5           9           9           2
Pavarde161             Vardas161           1           9           7           1           7           7          10           2           3           9           6           1           9           4           5           4
Pavarde162             Vardas162           9           9           3           6           4           2          10           7           9           7           9           7           9           7           4           9
Pavarde163             Vardas163           5           1           8           9           2          10           5           8           8           9           3           1           6           2           3           3
Pavarde164             Vardas164           6           2           9           3           9           1           4          10           5           2           4           7           5           9           5           4
Pavarde165             Vardas165           3           4           2           2           9           9           4           1           4           4           1           4           5           1           9           8
Pavarde166             Vardas166           7           5           3           5           4           7           8           2           7          10           5           9          10           6           7          10
Pavarde167             Vardas167          10           1           2           9           8           3          10           9           6           6           3           7           5           8           2           5
Pavarde168             Vardas168           1           8           4           3           4           6           6           5           9          10           4           6           8           7           6           6
Pavarde169             Vardas169           9           8           5           2           1           3           7           7           2           4           1           1           6           4           2           9
Pavarde170             Vardas170           5           8           7           6           6           2          10           4           9           4           2           1           1           6           9           8
Pavarde171             Vardas171           7          10           3           7          10           4           6           6           7           9           2           5           8          10           1           1
Pavarde172             Vardas172           8           6           9           3          10           2           9          10           2          10           8           4           3           8          10           8
Pavarde173             Vardas173           4           9           9           4          10           9           7           7           1           2           7          10           6           5           1           5
Pavarde174             Vardas174           1           4          10           5           6           6           4           9           1           1           5           7           6           3           3           3
Pavarde175             Vardas175           6           4           1           5           3           2           7           4           5           6           8           4           7           8           1           5
Pavarde176             Vardas176          10           3           3           6           9           8           5           1           2           8           8           2           6           9           5           2
Pavarde177             Vardas177           8           9           7           5           5           7           8           5           7           3           1           5           3           8           8           1
Pavarde178             Vardas178          10           4          10           5           7          10           5           6          10           5           7          10           6           1           8           3
Pavarde179             Vardas179           6           1           2           3           8           9           2           5           6           7           6           6           2           6           2          10
Pavarde180             Vardas180           1           4           2           5           5           6           9           1           8           9           8           9           9           6           7           4
Pavarde181             Vardas181           8           1          10           3           2           6           2           1          10           9          10           6           7           2           4           5
Pavarde182             Vardas182           9           1           6           2           1           1           7           2           9           9           4           8          10           5          10           6
Pavarde183             Vardas183           5           2           3           7           7           5           9           9           1           4           6           8           7           4           7           5
Pavarde184             Vardas184           8           5           4           2           2           2           3           6           2           1          10           4           9           3           3           5
Pavarde185             Vardas185           2           8           9           7           8           6           5          10           1           4           5          10           8           9           8           1
Pavarde186             Vardas186           9           5           5          10           7           3           8           4           2           2           1           8           4           2           3           8
Pavarde187             Vardas187           8           3           5           5           7          10           7           5           3           5           7           6           6           4           2           3
Pavarde188             Vardas188           7           2           1           9           2           7           9           6           7           6           8           7           8          10           2           6
Pavarde189             Vardas189           4           9           2           3           1           9           5          10           7           2           2           6           5           6           8           5
Pavarde190             Vardas190           6           5           8           8           5           1           1           8           2           1           9           6          10           8           7           2
Pavarde191             Vardas191           6           7           9           8          10          10           9          10           5           1           7           7           9           8           6          10
Pavarde192             Vardas192           9           7           8           2           1           7           7           1          10           3           4           1           4          10          10           3
Pavarde193             Vardas193          10           3           4           9           3           9           5          10           6           1           7           7           8           8           6           9
Pavarde194             Vardas194           9           8           5           3           6           4           2           1           8           4           9           1           6           2           9           8
Pavarde195             Vardas195           1           2          10           3           4           1           4           8           2           1           8          10           5           4           9           9
Pavarde196             Vardas196           8           8           5           4           9           9           1           1           1           4           6           9           4          10           9           1
Pavarde197             Vardas197           3           8           9           1           4          10           5           9           2           1           1           4           1           3          10           8
Pavarde198             Vardas198           5           5           7           4           7           5           4           2           1           4           2           7          10           1           2           3
Pavarde199             Vardas199           4           3           3           9           7           6           8           4           2           8           4           1           2           9           5           1
