Pavarde                   Vardas         ND1         ND2         ND3         ND4         ND5         ND6         ND7         ND8         ND9        ND10        ND11        ND12        ND13        ND14        ND15        Egz.
Pavarde77               Vardas77           3           1           1           9           6           6          10           8           7           2           4           2           4           4           1           7
Pavarde78               Vardas78           6           6           8           4           8           2           5           5           6           3           9          10           5           7           1           8
Pavarde79               Vardas79           8           4           8           3           9          10           9           7           1           2           5           9           5           2           1           2
Pavarde80               Vardas80           9           8          10           6           2           8           6           5           7           3           5           2           3           4           7           3
Pavarde81               Vardas81           3           8           8           4          10           6           3           8          10           6           4           6          10           2           3           5
Pavarde82               Vardas82           3           5           2           6           7           2           4           6           5           9           9           5          10           4           7           2
Pavarde83               Vardas83           1           1          10           1           1           9           9           8           3           6           6           8           8           4           5           4
Pavarde84               Vardas84          10           4           3           8           8           5           4           9           3           6           6           9           9           2           8           3
Pavarde85               Vardas85           6           1           9           6           5           3           8           1           6           4           6           2           5           9           1           4
Pavarde86               Vardas86           6           2           1           6           7           4           5           4           1           4           6           9           8           4           4           5
Pavarde87               Vardas87           3          10          10           6           1           5           7           9           3           8           2           5           5           6           8          10
Pavarde88               Vardas88           5           9           4           8           9           7           4           4          10           2           6           7           8           2           9           9
Pavarde89               Vardas89           2           7           8           4           8          10           1           8           8           4           7           6           4           2           4           5
Pavarde90               Vardas90           5           4           6           5           2           2           8           9           5           6           5          10           3           5          10           8
Pavarde91               Vardas91           7           8           3          10           6           1          10          10           7           8           2           4           1           4           2           8
Pavarde92               Vardas92          10           3          10           1           9           6           3           8           2           5          10           3           8           7          10           9
Pavarde93               Vardas93           3           5           2           8           4           8           9           3           3          10           2           9           2           2           2           4
Pavarde94               Vardas94           9           6           9           7           4           8           5           5           8          10           1           1           5           5           6           6
Pavarde95               Vardas95           1           3           7           8           5           3           2           3           8           7           2          10           8           3           1           7
Pavarde96               Vardas96           9           4           4           5           9           7           5           1          10           4           5           7           2           7           3           4
Pavarde97               Vardas97           1           5           6           6           1           4           4           8           2           1           7           5           1           8           5          10
Pavarde98               Vardas98           4           5          10           9          10           3          10           5           7           2           3           1           2           8           2           6
Pavarde99               Vardas99           7           9           5           1           9           7           8           3           8           2           3           8           1           5           4           7
Pavarde100             Vardas100           4           8           7           9           3           6           6           9           9           3           5           6           5           8           1           4
Pavarde101             Vardas101           5           7           8           9           8           3          10           7           9           4           6           2          10           2           9           3
Pavarde102             Vardas102           6           3           3           5           4           4           5           8           8           8           3           2           2           2          10           8
Pavarde103             Vardas103           2           1           9           5           2           7           2           7           2           8           6           2           4           9           5           4
Pavarde104             Vardas104          10           1           4          10           9           4           4           2           9           2           2           3           4           7           6           7
Pavarde105             Vardas105           1           1           8           3           5           2           6           1           9          10           5           8           5           1           6           6
Pavarde106             Vardas106           8           8           4           8           7           7          10           4           5           7           6          10          10           9          10           7
Pavarde107             Vardas107           8           7           2           2           6           1           3           4          10           5           1           7           6           7           9           3
Pavarde108             Vardas108           7           1           1           9          10           8           5           3           2           3           6           7           1           6           5           4
Pavarde109             Vardas109           8           6           6           1           7           2           7           5           1           3           4           4           5          10          10           4
Pavarde110             Vardas110           1          10          10           4           9           5           2           5           1           6           3           5           9           8           4           8
Pavarde111             Vardas111           8          10           4           3          10           1           9           3           9           4           9           3           2           9           7          10
Pavarde112             Vardas112           1          10           3          10           2          10           9           8           3          10           5           7          10           8           2           2
Pavarde113             Vardas113           2           8           7           9           7           5           3           8          10           9          10           3           5           2           2          10
Pavarde114             Vardas114           9           1           1           8           9           2           3           8           1           9           8           4           2           8           5           6
Pavarde115             Vardas115           8           7           3           7           3           8           8           6           2           4           6           2           5           3           8           9
Pavarde116             Vardas116           7           8           5           6           4           1           1           5           6           3           5           1          10           8           7           6
Pavarde117             Vardas117           2           4           3           8           2           1           4           6           5           2           9           4          10           5           9          10
Pavarde118             Vardas118           3           9           2           3           5          10           1           3           9           8           6           5           5          10           1           5
Pavarde119             Vardas119          10          10           5           9           9           8           9           9           5           2           6           9           8           7           4           3
Pavarde120             Vardas120          10           5           7           1           3           9           6           8          10           9           6           8           1           8           5           8
Pavarde121             Vardas121           8          10           4           8           1           1           6           8           8          10           4           2           3           4           3           4
Pavarde122             Vardas122           3           4           7           4           3           9           8           8           1           7           1           4           7           8           7           7
Pavarde123             Vardas123           3           4           1           7           7           2           6           6           6           8           7           4           7           3           5           6
Pavarde124             Vardas124           4           5           5          10           8           7           8          10           1           1           6           2           1          10           5           7
Pavarde125             Vardas125           8           5           2           8           6           7           7           6           8           9           7           3           8          10           5           7
Pavarde126             Vardas126           6           1           5           8           4           1           2           2           1           3           8           6           7           9           1           1
Pavarde127             Vardas127          10           3           9           9           2           7           7          10           7           3           8           3           5           7           6           1
Pavarde128             Vardas128           4           3           2           6           3           7           3          10           8           7           5           9           9           4           7           6
Pavarde129             Vardas129           5           7           3          10          10           3           7           2           2           3           6           6           8           3           9           7
Pavarde130             Vardas130           6           2           5          10           2           4           3           6          10           5           2           5           5          10           5           4
Pavarde131             Vardas131           8           9           3           7           3           3           7           5           9           8           8           9           3           5           8           3
Pavarde132             Vardas132           8          10           2           1           1          10           6           4           8           3           6           1           3           2           7           9
Pavarde133             Vardas133           4           7           8           4           4           6           6           8           4           5           5           3           4           4           1           4
Pavarde134             Vardas134           3           5           6           4           1           6          10           2          10           9           6          10           4          10           8           1
Pavarde135             Vardas135           3           4           9           4          10           6           7           3           5           2          10           8           6          10           2           2
Pavarde136             Vardas136           8           7           3           5           1           4           1           3           1           1           2           8           8           6           8           9
Pavarde137             Vardas137           3           2           1           9           1           7           8           1           9          10           6           6           6           7           9           6
Pavarde138             Vardas138           6           3           5           3           4           5           4           9           2           7           4          10          10          10           4           6
Pavarde139             Vardas139           8           5          10           2           6           8           4           8           7           8           1           2           8           4           5           7
Pavarde140             Vardas140          10           9           6           8           7           7           5           7           7           3           5           4           2           8           9           4
Pavarde141             Vardas141           8           7           3           4           9           9           5           3          10           6           2           2           9           5           1          10
Pavarde142             Vardas142           8           2           9           7           9           4           3           5           8           9           6           7           2          10           3           4
Pavarde143             Vardas143          10           3           7           4           6           1           4           7           2           9           1           5          10           4           2           9
Pavarde144             Vardas144           1           4           7           9           7           4           8           6           9           1           3           2           8           9           1           5
Pavarde145             Vardas145           5           3           8           1           1          10           7           4           9          10           8           5           2           6           1           2
Pavarde146             Vardas146           2           6          10           8           7           5           1           5           1           4          10          10          10           5           3           3
Pavarde147             Vardas147           4           9           8           5           2           2           6           2           3           8           4           9           5          10           4           2
Pavarde148             Vardas148           2           7           5           5           4           3           9           5           8           7           5           1           5           5           2           9
Pavarde149             Vardas149           3           1          10          10           3           4           4           6           7           7           2           6           4          10           8           7
Pavarde150             Vardas150           3           1           3           2           6           8           5           6           7           1           5           7           3           4           2           1
Pavarde151             Vardas151           7           6           4           5           7           3           1           8           7           7           2           7           5           2           5          10
Pavarde152             Vardas152           5           3           2           8           8           7           7           3           6           9           8           1           8          10           4           4
Pavarde153             Vardas153           7           2           8           3           8           1           8           3           8           2          10           3           9          10           4           5
Pavarde154             Vardas154           4           9           9          10           7          10          10           1           2           7           6           9           1           4           8           1
Pavarde155             Vardas155           7           6           6           1           7           6           8           5           6           1           7           1           3           1           7           9
Pavarde156             Vardas156           4          10           3          10           9          10           9          10           6           7           3           4           9          10           5           2
Pavarde157             Vardas157           5           2          10           5           6           7           2           8           1           4           2           3           1           5           6           4
Pavarde158             Vardas158           7          10          10           3           6           4           1           2           7          10           7           4           5           5           4          10
Pavarde159             Vardas159           1           5           6          10           6           4           2           8           8          10           7           6           9           8           4           4
Pavarde160             Vardas160           2          10           8           4           1           1           4           7           4           7           5           4           7           8           9          10
Pavarde161             Vardas161           2           1          10          10           1           2           7           3           3           6           7           3           6          10          10           1
Pavarde162             Vardas162           7           9          10           1           6           8           2           3          10          10           9           4           5           3           2           2
Pavarde163             Vardas163           4           1           9           7           6           6           8           3           6           1           6           8           1           4           6           1
Pavarde164             Vardas164           5           8           9           4           7          10           2           6          10           2          10           2          10           6           6           8
Pavarde165             Vardas165           8           6           6           4           7           5           4           8          10           3           4           1           4           2           1           3
Pavarde166             Vardas166           6           4           8           7           1           6           4           4           1           5           5           4           7          10           5           4
Pavarde167             Vardas167           8          10           3           3          10           6           9           7           9           5           7           1           6           1           2           8
Pavarde168             Vardas168           2           5           6           3           7           5          10           9          10           9           5           4           2           5           8          10
Pavarde169             Vardas169           9           5           9           2           2          10           1           6          10           9           7           2           7           6          10           8
Pavarde170             Vardas170           7           1           8           8           7          10           8           1           9           8          10           2           9          10           3           4
Pavarde171             Vardas171           8          10           4           8           7           9           2           6          10           1           2           9           8           9           9           6
Pavarde172             Vardas172           2           3           8           8           7           2           5           6           8           6           4           9           7           6           1           5
Pavarde173             Vardas173          10           9           8          10           3           3           4           8           2           3           9           6          10           7           3           3
Pavarde174             Vardas174           2           3           7           8           5           1           5          10          10           9           2           1           1           8           9           8
Pavarde175             Vardas175           9          10           5           6           4           3           1           9           5           3           5           6           2           1           6           3
Pavarde176             Vardas176           3           8          10           1           9           6           3           2           6           9           4           5          10           7          10           5
Pavarde177             Vardas177          10           1           8           7           1           3           1           6           9           4           6           8           1           6          10          10
Pavarde178             Vardas178           8           7           1           2           2           5           6           5           6          10           3           2          10           6           4           5
Pavarde179             Vardas179           3           1           8           3           8           5           9           4           7           9           1           1           8           8           3           4
Pavarde180             Vardas180           4           4           9           1           6           1           2           7           3          10           7           9           5           4           3           4
Pavarde181             Vardas181           5           5          10           9           3           8           9           5          10           9           5           5           1           5           4           3
Pavarde182             Vardas182           6           9           4           5           1           5           5           8           8           1           4           3           9           4           5           4
Pavarde183             Vardas183           7           4           5          10           8           5           3           4           8           5           4          10          10          10           7           2
Pavarde184             Vardas184           3           9           5           1           7           3           1          10           6          10           4           1           4           9           6           9
Pavarde185             Vardas185           9           8           2           7           3           9           1           7           6           1           2           3           6          10           4           8
Pavarde186             Vardas186          10           3           8           1           3           9           6           1           6           9           4           4           7           1           7           8
Pavarde187             Vardas187           6           5           2          10           9           9           1           7           8           1           6           5           6           1           5           3
Pavarde188             Vardas188           4           2           9          10           4           3          10           7          10           8           8           9           5           5          10           1
Pavarde189             Vardas189           7          10           9           4           7           9           8           4          10           3           1           5           2           9           5           2
Pavarde190             Vardas190           8           3           5          10           8           9           6           3           4           8           3           6          10           8          10           3
Pavarde191             Vardas191          10          10           4           8           7           3           6           9           8          10           3           2           1           6           5           7
Pavarde192             Vardas192           5           1          10           1           6           6           9           8           2           2           2           3           1           6           5           4
Pavarde193             Vardas193           7           8          10           1           2           8           8           6           2           1           9           6           2           7          10           3
Pavarde194             Vardas194           7           2           9           8           8           7           7           3           9          10           6           6           3           9           8           3
Pavarde195             Vardas195           2           5           3           5           2           9          10           3          10           2           6           9           1           7           8           6
Pavarde196             Vardas196           6           4           6           8           6           5           6           4          10          10           4           7           3           6           5           2
Pavarde197             Vardas197           8           2           5           2           4           8           2           5           8           8          10           5           8          10           6           9
Pavarde198             Vardas198           6           4           5           4           7           7           1           6           4           8           3           6           7           4           7           3
Pavarde199             Vardas199           6           6           2           8           1           7           2           4           1           1           4           3           5           9           7           3
